,Predicted
686,440050.3186645508
687,2017507.5375976562
688,2737745.0927734375
689,3096323.8891601562
690,833212.7061767578
691,3096323.8891601562
692,1466053.9995117188
693,4813471.645996094
694,3189424.2614746094
695,1590220.6245117188
696,2017507.5375976562
697,878823.1845703125
698,1327665.4213867188
699,446468.73248291016
700,1678492.142944336
701,647888.1701660156
702,1333092.4155273438
703,2002874.894165039
704,609596.1859130859
705,1191957.4760742188
706,1333092.4155273438
707,1330614.5485839844
708,1200526.5340576172
709,499723.98223876953
710,2002874.894165039
711,1659700.9196777344
712,460755.87731933594
713,1200526.5340576172
714,1240172.4051513672
715,569656.5600585938
716,1086072.646118164
717,1659700.9196777344
718,549571.748046875
719,1200526.5340576172
720,458213.806640625
721,1596391.4639892578
722,1212915.868774414
723,1240172.4051513672
724,2002874.894165039
725,1333092.4155273438
726,1214559.1728515625
727,2002874.894165039
728,1214154.8022460938
729,458213.806640625
730,2013635.6169433594
731,2002874.894165039
732,1200526.5340576172
733,1200526.5340576172
734,1659700.9196777344
735,1221262.9211425781
736,761044.8515625
737,1507374.6405029297
738,609596.1859130859
739,2047725.4669189453
740,499723.98223876953
741,1200526.5340576172
742,1240172.4051513672
743,1659700.9196777344
744,1214154.8022460938
745,1678492.142944336
746,1659700.9196777344
747,1200526.5340576172
748,1240172.4051513672
749,1240172.4051513672
750,1133624.126586914
751,1200526.5340576172
752,2001617.5966796875
753,647888.1701660156
754,1959719.2174072266
755,458213.806640625
756,1240172.4051513672
757,1239072.3178710938
758,360073.9113769531
759,1333092.4155273438
760,1200526.5340576172
761,2002874.894165039
762,761044.8515625
763,1240172.4051513672
764,1333092.4155273438
765,1221262.9211425781
766,1333092.4155273438
767,1200526.5340576172
768,1200526.5340576172
769,1169553.197265625
770,1186898.2658691406
771,1137731.820678711
772,1307074.8126220703
773,1200526.5340576172
774,1317453.8486328125
775,742598.9901123047
776,626485.1121826172
777,1659700.9196777344
778,647888.1701660156
779,1746386.2071533203
780,1659700.9196777344
781,1200526.5340576172
782,594381.3409423828
783,1659700.9196777344
784,694436.9186401367
785,1095256.2670898438
786,954536.4887695312
787,861744.108215332
788,888879.255859375
789,426943.6188354492
790,863751.371887207
791,704533.3352050781
792,762689.9938964844
793,848339.1546630859
794,1095256.2670898438
795,888879.255859375
796,888879.255859375
797,439193.1253051758
798,439956.4141845703
799,1061839.4893798828
800,2146083.8276367188
801,985725.0531616211
802,908155.2124023438
803,1107050.5859375
804,561196.4575195312
805,816990.5723876953
806,528492.1118774414
807,2854606.53125
808,2002580.53515625
809,2110579.443359375
810,2056774.0805664062
811,2830419.2045898438
812,2854606.53125
813,3497115.0739746094
814,2139354.7211914062
815,2854606.53125
816,3701628.7075195312
817,2056774.0805664062
818,2139354.7211914062
819,2796884.7080078125
820,1506976.81640625
821,3657933.1955566406
822,3657933.1955566406
823,3657933.1955566406
824,2830419.2045898438
825,2165433.612060547
826,2809541.125
827,2830419.2045898438
828,3701628.7075195312
829,2139354.7211914062
830,1506976.81640625
831,1433509.1879882812
832,1963821.7231445312
833,1450465.1857910156
834,2085161.17578125
835,1489360.1953125
836,1917264.330078125
837,2002357.892578125
838,2976605.9370117188
839,1968907.0949707031
840,1436026.8276367188
841,21626162.61328125
842,4287525.0322265625
843,2566362.2080078125
844,1968907.0949707031
845,20801588.138671875
846,1843797.4743652344
847,4202695.9228515625
848,1501391.4455566406
849,20498282.778320312
850,1961104.6857910156
851,4117348.8671875
852,20801588.138671875
853,5852674.8779296875
854,3349321.955078125
855,4011038.1787109375
856,20498282.778320312
857,4153092.7163085938
858,2252553.240234375
859,18480098.62451172
860,2788292.9321289062
861,6615519.365234375
862,18693522.239257812
863,1917264.330078125
864,17872422.974609375
865,2252553.240234375
866,1556666.9780273438
867,5094964.443359375
868,2566362.2080078125
869,17872422.974609375
870,1559983.5407714844
871,1968907.0949707031
872,2700188.5327148438
873,2814816.9057617188
874,18547948.965820312
875,839042.8369140625
876,762352.6318359375
877,943679.47265625
878,732057.6538085938
879,418975.4755859375
880,460483.8818359375
881,598728.076171875
882,2366279.385498047
883,412585.0524902344
884,1150447.6604003906
885,412585.0524902344
886,438139.7830810547
887,397338.85217285156
888,1933522.8759765625
889,3076344.151611328
890,1530003.8276367188
891,386668.2485961914
892,543716.7358398438
893,1830273.7866210938
894,1746028.18359375
895,5529454.5947265625
896,1708098.1640625
897,3151330.295654297
898,5529454.5947265625
899,4162186.464111328
900,3239711.162841797
901,2413167.900390625
902,4725614.492431641
903,5526692.629394531
904,1708098.1640625
905,2413167.900390625
906,1708098.1640625
907,3315704.723876953
908,2413167.900390625
909,3449615.7224121094
910,3239711.162841797
911,5529454.5947265625
912,3239711.162841797
913,2413167.900390625
914,380050.7391357422
915,3151330.295654297
916,4269006.862548828
917,2487413.1831054688
918,2413167.900390625
919,1708098.1640625
920,2413167.900390625
921,4725614.492431641
922,3358472.953125
923,3151330.295654297
924,3239711.162841797
925,1746028.18359375
926,2489005.6092529297
927,2487413.1831054688
928,5529454.5947265625
929,1708098.1640625
930,2554311.826171875
931,3151330.295654297
932,3449615.7224121094
933,2478069.7265625
934,3151330.295654297
935,3151330.295654297
936,3239711.162841797
937,4725614.492431641
938,5526692.629394531
939,1708098.1640625
940,1708098.1640625
941,5903481.568359375
942,1746028.18359375
943,5903481.568359375
944,5529454.5947265625
945,5607573.162597656
946,2413167.900390625
947,2413167.900390625
948,2487413.1831054688
949,4725614.492431641
950,2413167.900390625
951,2487413.1831054688
952,2478069.7265625
953,3151330.295654297
954,3151330.295654297
955,317003.5622558594
956,9154933.00415039
957,2478069.7265625
958,5529454.5947265625
959,2413167.900390625
960,3239711.162841797
961,2487413.1831054688
962,4202761.895751953
963,1708098.1640625
964,3225250.716064453
965,2487413.1831054688
966,3239711.162841797
967,5529454.5947265625
968,3225250.716064453
969,3530532.9924316406
970,3449615.7224121094
971,1746028.18359375
972,380050.7391357422
973,2487413.1831054688
974,3437252.296875
975,9160282.07397461
976,3315704.723876953
977,5529454.5947265625
978,4725614.492431641
979,1708098.1640625
980,4259818.430419922
981,3239711.162841797
982,2413167.900390625
983,1708098.1640625
984,1708098.1640625
985,2413167.900390625
986,3463621.2326660156
987,2413167.900390625
988,3239711.162841797
989,4836462.730224609
990,1708098.1640625
991,1708098.1640625
992,5529454.5947265625
993,3239711.162841797
994,1186842.3046875
995,4725614.492431641
996,5529454.5947265625
997,2413167.900390625
998,3239711.162841797
999,3449615.7224121094
1000,2478069.7265625
1001,3449615.7224121094
1002,3315704.723876953
1003,3463621.2326660156
1004,2413167.900390625
1005,4176275.289916992
1006,1746028.18359375
1007,1708098.1640625
1008,1746028.18359375
1009,3239711.162841797
1010,380050.7391357422
1011,3151330.295654297
1012,2102817.58203125
1013,5529454.5947265625
1014,3239711.162841797
1015,3437252.296875
1016,5529454.5947265625
1017,4162186.464111328
1018,965961.8170776367
1019,966576.6877441406
1020,1814030.7700195312
1021,1012662.9780273438
1022,680725.7126464844
1023,555843.0825195312
1024,704863.2257080078
1025,992401.2557373047
1026,2218279.8823242188
1027,555843.0825195312
1028,1201429.7668457031
1029,965961.8170776367
1030,578675.1518554688
1031,578675.1518554688
1032,992401.2557373047
1033,17290120.849609375
1034,9804450.317382812
1035,6474312.427734375
1036,53902729.82714844
1037,10378009.946777344
1038,3880430.7517089844
1039,25410492.1875
1040,7986413.28125
1041,420064.1689453125
1042,413751.7292480469
1043,609105.0356445312
1044,891677.7512207031
1045,1825395.3312988281
1046,876964.1693115234
1047,2578038.6083984375
1048,413751.7292480469
1049,876964.1693115234
1050,1372896.0439453125
1051,1825395.3312988281
1052,1349518.5571289062
1053,1372896.0439453125
1054,1372896.0439453125
1055,747163.3168945312
1056,760509.134765625
1057,1372896.0439453125
1058,584692.5068359375
1059,1825395.3312988281
1060,1257321.9503173828
1061,2163805.9716796875
1062,748183.2061767578
1063,1519721.4990234375
1064,6771873.5068359375
1065,2577254.3637695312
1066,3301648.858642578
1067,2463254.6469726562
1068,7898880.9990234375
1069,2562325.0869140625
1070,7810945.4248046875
1071,3654826.073486328
1072,2567097.0681152344
1073,2565928.337890625
1074,1742929.6772460938
1075,1742929.6772460938
1076,3594370.901611328
1077,2562325.0869140625
1078,2562325.0869140625
1079,2077276.5258789062
1080,5880866.687011719
1081,3594370.901611328
1082,1607642.1916503906
1083,2562325.0869140625
1084,1707293.5686035156
1085,3594370.901611328
1086,2567097.0681152344
1087,1707293.5686035156
1088,2562325.0869140625
1089,1658342.1391601562
1090,6615829.641357422
1091,2567097.0681152344
1092,2562325.0869140625
1093,2463254.6469726562
1094,6974315.916015625
1095,7810945.4248046875
1096,1658342.1391601562
1097,2901321.4196777344
1098,7716867.569091797
1099,3451091.3896484375
1100,7716867.569091797
1101,6735835.4765625
1102,6580622.033203125
1103,3594370.901611328
1104,2562325.0869140625
1105,5035395.7822265625
1106,2562325.0869140625
1107,1658342.1391601562
1108,3594370.901611328
1109,942678.3525390625
1110,6696484.5263671875
1111,2567097.0681152344
1112,2655930.979248047
1113,2567097.0681152344
1114,3654826.073486328
1115,6660847.6953125
1116,11231639.064697266
1117,3654826.073486328
1118,2077276.5258789062
1119,2716386.368408203
1120,5031487.2744140625
1121,2598296.699951172
1122,3654826.073486328
1123,7716867.569091797
1124,1707293.5686035156
1125,3654826.073486328
1126,2562325.0869140625
1127,3691738.8720703125
1128,3587062.1337890625
1129,1658342.1391601562
1130,7716867.569091797
1131,918433.8754882812
1132,4283496.5478515625
1133,7716867.569091797
1134,8377147.819824219
1135,6615829.641357422
1136,2567097.0681152344
1137,3654826.073486328
1138,2963131.552734375
1139,5031487.2744140625
1140,1658342.1391601562
1141,2562325.0869140625
1142,2632177.8154296875
1143,2568511.6181640625
1144,7716867.569091797
1145,1658342.1391601562
1146,1692956.4912109375
1147,2562325.0869140625
1148,1658342.1391601562
1149,5035395.7822265625
1150,1658342.1391601562
1151,3594370.901611328
1152,3594370.901611328
1153,755716.0424804688
1154,330280.03955078125
1155,2625269.4860839844
1156,2998196.353515625
1157,592487.5588378906
1158,808256.7138671875
1159,2998196.353515625
1160,2625269.4860839844
1161,808256.7138671875
1162,3244615.8862304688
1163,809064.9705810547
1164,1711257.0270996094
1165,1286186.9384765625
1166,809064.9705810547
1167,1922655.5981445312
1168,1259262.2244873047
1169,592487.5588378906
1170,2432923.6572265625
1171,8546743.36730957
1172,2456606.9848632812
1173,6696568.7109375
1174,8546743.36730957
1175,808256.7138671875
1176,692085.0672607422
1177,2409240.3295898438
1178,2432923.6572265625
1179,1610591.1376953125
1180,3042206.447998047
1181,3244615.8862304688
1182,2432923.6572265625
1183,1421344.1638183594
1184,774442.2821044922
1185,3278753.2890625
1186,2641767.5463867188
1187,1016313.6547851562
1188,2625269.4860839844
1189,2600438.90625
1190,819788.9406738281
1191,809064.9705810547
1192,2482100.17578125
1193,3244615.8862304688
1194,553299.3017578125
1195,468512.1533203125
1196,602192.6259765625
1197,1244804.7290039062
1198,546597.5122070312
1199,808256.7138671875
1200,808256.7138671875
1201,456241.5969238281
1202,2432923.6572265625
1203,1498492.11328125
1204,829767.7729492188
1205,2432923.6572265625
1206,1225995.275390625
1207,592487.5588378906
1208,2625269.4860839844
1209,801195.9228515625
1210,808256.7138671875
1211,1178041.9696044922
1212,826030.76171875
1213,2625269.4860839844
1214,592487.5588378906
1215,1922655.5981445312
1216,3244615.8862304688
1217,521433.4521484375
1218,1737725.65625
1219,3597997.55859375
1220,2600438.90625
1221,2985635.787963867
1222,809064.9705810547
1223,348385.0915527344
1224,2062464.1870117188
1225,808256.7138671875
1226,2600438.90625
1227,755716.0424804688
1228,801195.9228515625
1229,809064.9705810547
1230,808256.7138671875
1231,489933.6799316406
1232,1281105.3177490234
1233,826856.7924804688
1234,801195.9228515625
1235,809064.9705810547
1236,809064.9705810547
1237,852626.3576660156
1238,2600438.90625
1239,3052785.702392578
1240,872910.875
1241,336324.7957763672
1242,389532.93701171875
1243,2665450.8740234375
1244,9273933.508300781
1245,2998196.353515625
1246,2456606.9848632812
1247,2480290.3125
1248,2600438.90625
1249,2112856.611328125
1250,2641767.5463867188
1251,2998196.353515625
1252,403281.9934082031
1253,3244615.8862304688
1254,8671695.600585938
1255,1539228.4454345703
1256,2641767.5463867188
1257,771023.1518554688
1258,809064.9705810547
1259,1335159.541015625
1260,1223709.017578125
1261,602819.4689941406
1262,892333.55859375
1263,1166473.2734375
1264,1342836.4379882812
1265,930681.1328125
1266,594024.130859375
1267,725461.3634643555
1268,1223709.017578125
1269,890098.2950439453
1270,1223709.017578125
1271,986645.0805664062
1272,1045794.5551757812
1273,945053.484375
1274,2009953.955078125
1275,890098.2950439453
1276,3987673.6313476562
1277,1588780.9448242188
1278,1040607.6372070312
1279,594674.0478515625
1280,1356475.5859375
1281,1018679.1237792969
1282,932958.5712890625
1283,594024.130859375
1284,890098.2950439453
1285,892333.55859375
1286,1047239.8154296875
1287,601516.9337158203
1288,756818.2282104492
1289,2005284.8515625
1290,454669.5715942383
1291,389072.7243041992
1292,5387809.500732422
1293,763323.6712646484
1294,1888805.419921875
1295,1433515.6003417969
1296,806228.3726806641
1297,1169981.09765625
1298,543775.2314453125
1299,1688977.8702392578
1300,2290149.012451172
1301,2182329.0153808594
1302,2689165.1586914062
1303,950468.203125
1304,865932.7279052734
1305,2303687.3569335938
1306,14759415.534667969
1307,1169981.09765625
1308,838387.6599731445
1309,948809.0185546875
1310,1437017.40234375
1311,1169981.09765625
1312,1855128.9765625
1313,856813.7623901367
1314,829668.3502197266
1315,2393615.8432617188
1316,12700114.2578125
1317,10987264.404296875
1318,4622019.873046875
1319,849305.4359130859
1320,477227.8933105469
1321,1061431.0383300781
1322,6137840.625
1323,849963.3022460938
1324,4091974.3408203125
