latitude,longitude,name
1.27458821795427,103.84347073661,100 AM
1.30508681845447,103.905098915055,112 KATONG
1.30138510214714,103.837684350436,313@SOMERSET
1.3120249182444,103.764960537008,321 CLEMENTI
1.33404171129957,103.850955458676,600 @ TOA PAYOH
1.4371305244487,103.795289911954,888 PLAZA
1.36922321403002,103.848467911464,AMK HUB
1.43988095490574,103.801791019595,ADMIRALTY PLACE
1.27384263888451,103.801375038176,ALEXANDRA RETAIL CENTRE
1.28893477974498,103.805607779399,ANCHORPOINT
1.30974242032356,103.864101647509,APERIA
1.32612416875662,103.843709493566,BALESTIER HILL SHOPPING CENTRE
1.3424126418864295,103.776539385678,BEAUTY WORLD CENTRE
1.34178799847022,103.776304121109,BEAUTY WORLD PLAZA
1.3246689739690902,103.92940545649,BEDOK MALL
1.32480102552269,103.932384005117,BEDOK POINT
1.33183269839976,103.744879157153,BIG BOX
1.29819500487879,103.855655544739,BUGIS CUBE
1.30011789343094,103.856191571652,BUGIS JUNCTION
1.30075921013125,103.855204142122,BUGIS+
1.37991650665224,103.764317068535,BUKIT PANJANG PLAZA
1.29306335877348,103.851293463737,CAPITOL PIAZZA
1.30149743442988,103.836444792111,CATHAY CINELEISURE ORCHARD
1.43608867729913,103.786009973678,CAUSEWAY POINT
1.3523611314355002,103.943784812431,CENTURY SQUARE
1.28412271103558,103.852544637414,CHANGE ALLEY
1.35634142135845,103.989276642386,CHANGI AIRPORT
1.3340363790270802,103.962917615531,CHANGI CITY POINT
1.28526073702918,103.844942912343,CHINATOWN POINT
1.3114774495223402,103.856780762986,CITY SQUARE MALL
1.29237860670959,103.854662968868,CITYLINK MALL
1.3155535427795,103.764596439304,CLEMENTI MALL
1.3920941559405202,103.894980025383,COMPASS ONE
1.29270252655149,103.810971835374,DAWSON PLACE
1.2808649386093,103.810142595769,DEPOT HEIGHTS SHOPPING CENTRE
1.3260531991057098,103.929604640137,DJITSUN MALL
1.3777758420954298,103.95477359289,DOWNTOWN EAST
1.29921662121833,103.857996795149,DUO
1.3316765687873,103.849383935394,ERA APAC CENTRE
1.3425864408894,103.953072338954,EASTPOINT MALL
1.3778287661646598,103.942364336974,ELIAS MALL
1.28950956232932,103.855665761542,ESPLANADE MALL
1.32561764102296,103.678410551563,FAIRPRICE HUB
1.3840058246629598,103.771029603101,FAJAR SHOPPING CENTRE
1.30731112598869,103.833939963454,FAR EAST PLAZA
1.3963155184234,103.881167324822,FERNVALE POINT
1.3061252256071698,103.82867554961,FORUM THE SHOPPING MALL
1.30145299324793,103.854495182879,FU LU SHOU COMPLEX
1.29133889451297,103.850146834511,FUNAN
1.29130707593559,103.850083606052,FUNAN DIGITALIFE MALL
1.34874423181248,103.698298418177,GEK POH SHOPPING CENTRE
1.30285776289789,103.865284424819,GOLDEN MILE COMPLEX
1.29315492907011,103.831928020443,GREAT WORLD CITY
1.38541768689997,103.766235457752,GREENRIDGE SHOPPING CENTRE
1.38760330190636,103.869423629864,GREENWICH V
1.33218812037255,103.847077797948,HDB HUB
1.26379682885331,103.820219045593,HARBOURFRONT CENTRE
1.35954177325562,103.885167372726,HEARTLAND MALL
1.3635509577068,103.76423610633002,HILLV2
1.3784310082758702,103.762842789877,HILLION MALL
1.31025541912227,103.795350439947,HOLLAND ROAD SHOPPING CENTRE
1.3756672834841202,103.87945025083,HOUGANG 1
1.37243678271745,103.893723857613,HOUGANG MALL
1.33491758755438,103.746877132868,IMM
1.3040425340698,103.831888294023,ION ORCHARD
1.27601222585223,103.845897843593,INTERNATIONAL PLAZA
1.33323785085839,103.740191321438,JCUBE
1.33305451930724,103.743433746954,JEM
1.36033174518933,103.989670344538,JEWEL CHANGI AIRPORT
1.38060512473526,103.760041583169,JUNCTION 10
1.3502394308637,103.848477625201,JUNCTION 8
1.43303198215121,103.841600823354,JUNCTION NINE
1.33945200436321,103.706685012926,JURONG POINT
1.31469213499496,103.894480526031,KINEX
1.30384327182322,103.872750701661,KALLANG WAVE MALL
1.3038204018374,103.901040040135,KATONG SHOPPING CENTRE
1.30233745290723,103.876449175952,LEISURE PARK KALLANG
1.29149019892639,103.844668935113,LIANG COURT
1.30510759038419,103.830727915062,LIAT TOWERS
1.39224240572061,103.743190998187,LIMBANG SHOPPING CENTRE
1.3850699232561898,103.745238868238,LOT ONE
1.3664536401035,103.964598499523,LOYANG POINT
1.30446378974741,103.834005158524,LUCKY PLAZA
1.3020047173196498,103.836583965806,MANDARIN GALLERY
1.27912488289485,103.854457000196,MARINA BAY FINANCIAL CENTRE TOWER 3
1.28046794331674,103.85347014858,MARINA BAY LINK MALL
1.2839941013920602,103.859450636919,MARINA BAY SANDS
1.27704168977883,103.853401872618,MARINA ONE
1.29103980256765,103.857623532359,MARINA SQUARE
1.2920460530205,103.859900233499,MILLENIA WALK
1.3506755212032,103.871861615443,NEX
1.30242417189412,103.834676124723,NGEE ANN CITY
1.42799995995186,103.836142028836,NORTHPOINT CITY
1.41684981094702,103.90213684712,NORTHSHORE PLAZA
1.31934328126484,103.844177088816,NOVENA SQUARE
1.40263460056255,103.913270565628,OASIS TERRACES
1.2843399432025,103.850982346718,ONE RAFFLES PLACE
1.30072350356706,103.839692368177,ORCHARD CENTRAL
1.30044325279546,103.839442780042,ORCHARD GATEWAY
1.30178378195548,103.838660627347,ORCHARD MIDPOINT
1.30126533034761,103.841151770727,ORCHARD PLAZA
1.3014849976274598,103.83788829913,ORCHARD SHOPPING CENTRE
1.30684615299345,103.829217749325,ORCHARD TOWERS
